annual_mileage,vehicle_age_years,repair_estimate,telematics_score,parts_delay_days,prior_major_repairs,policy_type,adjuster_experience_years,major_repair
9304.167850237745,2,2651.0937575088706,70.54437683763639,5.18158455366663,0,Personal Auto,6,0
65348.78666298594,14,5879.83090830977,84.41059168564267,7.308370419790733,0,Personal Auto,2,1
43544.00515849877,13,3919.4668708765857,79.14141740859246,7.35645654035115,0,Personal Auto,6,1
30130.095991035072,8,1586.9589737759848,24.382763502286462,12.878389292190926,0,Personal Auto,12,1
13458.584960882845,6,2655.859451244353,86.64117902215573,2.546459437046872,0,Commercial Auto,6,0
38164.41389071049,6,3369.4140563336873,97.67792674664906,4.3044434362324075,0,Personal Auto,5,1
43777.08104639189,2,1189.2807752448075,87.44073012550601,9.057617033325492,0,Personal Auto,11,1
37504.17728033954,14,4163.587034958572,49.66533343311085,11.950423548493148,1,Personal Auto,20,1
20912.373790290712,6,3583.1217944214513,95.62442201920045,7.7950588243788665,0,Commercial Auto,1,1
21093.254476027665,1,1774.7346780168043,65.26262528046368,10.953423566294541,0,Personal Auto,1,1
59108.013429430146,13,2700.775420637569,72.81591067767998,8.501349923074624,0,Personal Auto,6,1
45954.35518238473,3,5299.717996058456,27.060105261543793,3.859167805422297,0,Personal Auto,10,1
50692.17968904381,14,4586.457198223807,52.956258305435625,4.736229691596915,0,Personal Auto,14,1
57581.40808542658,5,1696.2775622323916,89.4307870634997,7.411075517265867,0,Personal Auto,12,1
59352.40771182299,13,4991.055337500217,47.194010031535186,3.444461212458311,1,Personal Auto,24,1
79702.57651171148,7,2352.9027300413863,88.96850514906266,9.726525517689076,0,Commercial Auto,3,1
43573.54129534921,4,977.3364857786739,45.16867682224807,11.507771474081512,0,Personal Auto,9,1
39810.913399122095,4,4328.615930031845,82.69872188898924,4.367196753464736,0,Commercial Auto,14,1
25835.0935333885,2,2441.898117868841,62.99868546929711,6.789683054091611,0,Commercial Auto,6,0
49988.69582362217,14,5328.441467296774,81.54148166116329,3.9096961568329816,0,Commercial Auto,16,1
50289.42360275473,13,2110.4874656080283,87.06190226853253,9.635590314925281,0,Personal Auto,23,1
29805.028906034342,9,2357.811425830642,86.87190670190444,4.955892959983027,1,Personal Auto,19,1
44349.54110248259,1,3246.299633141314,80.09933672846175,8.465356681846265,0,Personal Auto,12,1
44638.898332923534,14,3511.7677604329265,90.37970763566204,4.594972446338813,0,Commercial Auto,4,1
118288.93726333643,11,2968.7815348454983,81.51066788347094,10.625008608162753,1,Personal Auto,10,1
34789.64361084657,2,2648.836672567525,80.50504136304433,2.369851162035504,1,Commercial Auto,2,1
69920.64483912762,11,3314.7294503465923,70.66274288812242,1.5894146516147258,0,Personal Auto,16,1
53131.74916163876,2,6200.8852238632635,97.08051342785241,10.931421655075162,0,Personal Auto,16,1
43164.84317919562,1,6314.893714545019,70.96410705055935,9.93961325657031,0,Personal Auto,24,1
53164.48193325378,7,1526.6868351346552,91.28123906039352,9.206706865760511,0,Commercial Auto,14,1
52168.09292932184,9,2967.540283838026,52.1381804962332,3.979720364852408,0,Personal Auto,2,1
44363.94710394932,11,2559.9018803982167,83.85555077631531,8.187895762370776,0,Commercial Auto,14,1
40010.42834333007,9,3932.786583515219,62.00444275182622,3.316812164181697,0,Commercial Auto,3,1
37511.07358872845,2,3435.252511522726,32.68471049491374,3.366338687106637,0,Personal Auto,1,1
37288.944782360966,0,2818.533468311337,70.97709977700667,5.760762098265817,0,Personal Auto,4,1
50581.12626662077,12,4393.51409151512,89.39316414104465,4.730939310958289,0,Personal Auto,8,1
42640.28939579513,9,5341.128054359653,40.58950180172107,9.901599328896467,1,Personal Auto,22,1
64279.08035458984,3,3897.4144456411905,86.05120658505444,4.333467932326762,0,Commercial Auto,16,1
72590.1508728491,6,2864.827216581303,67.4997779851563,8.198384091667199,0,Commercial Auto,2,1
43891.33235520019,9,267.8558268777578,70.19350373952128,9.770172358345652,1,Personal Auto,4,1
39031.76857403874,13,2588.4454513954606,92.78029976811924,5.280677057801096,1,Personal Auto,13,1
71399.51709894215,10,5647.057407609327,92.47708043595534,8.142943758247718,0,Personal Auto,13,1
43585.84171312774,3,976.8726581334225,85.67801561907645,5.755809772915103,1,Personal Auto,1,1
49204.92464035817,9,3476.669655285279,97.71800984014128,8.398571599407937,1,Personal Auto,13,1
37298.941992812295,0,6240.341489142842,86.31763438904014,2.4832826386409734,0,Personal Auto,14,1
47668.19739367518,3,1212.2547694216262,94.90700166259938,8.65747230757991,0,Personal Auto,20,1
70882.15714282714,10,3084.297113312354,89.12084049048805,7.792482442691514,0,Personal Auto,6,1
62910.0733559021,6,3236.8369361004607,56.063854808023216,6.300689447144954,0,Commercial Auto,2,1
23152.33681785413,1,7166.044664870884,76.3034400916917,7.804215415623136,0,Personal Auto,19,1
27983.58010119737,11,3706.308832577481,92.28917109095211,7.636323692479875,0,Personal Auto,21,1
36846.47459808898,7,3587.310102081288,37.02234788426642,7.073620157509615,0,Commercial Auto,14,1
38947.77022388278,10,3342.2964566598457,63.01608743128108,10.492881115890649,0,Personal Auto,1,1
59026.11426528888,13,2372.987444000063,55.994252036112144,8.235132915936047,0,Personal Auto,7,1
2402.1822239984213,11,3089.928248839084,90.30504406309902,6.5826145869472406,0,Personal Auto,10,0
70787.15226769556,5,2040.688788788866,73.74325744162417,6.195833138736876,1,Personal Auto,23,1
22017.908901109295,7,3281.1627871659393,37.53674918412025,0.9389680099990971,0,Personal Auto,5,1
65756.39454513205,1,340.7650641986123,74.13256557824849,6.282816607436709,0,Personal Auto,7,1
19808.6096934389,14,1712.1612581392558,67.20179502334324,6.228612429672342,0,Personal Auto,21,0
40893.06185048153,2,4963.885063028548,79.50867728235758,4.7669536283258065,0,Commercial Auto,3,1
62305.86012467408,4,3612.549370474427,91.61428589091918,11.394600435004488,0,Personal Auto,3,1
45718.21571104902,11,5681.216529286728,59.143179247772004,13.143402655561164,0,Personal Auto,18,1
68379.68146294363,4,3237.500596292017,54.56988471883631,5.627341945051013,0,Personal Auto,24,1
95212.75236798111,10,5526.661186173383,66.66984152425954,4.66484828212837,0,Personal Auto,12,1
34636.843445337916,6,2909.676811276984,77.11429164822344,11.601046403750756,0,Personal Auto,24,1
25516.25939050659,5,200.0,84.86769445153082,6.6759985804297255,0,Commercial Auto,20,1
21636.260415018656,10,2583.705880927962,91.50840854453867,5.981530399147161,0,Personal Auto,23,1
14914.250001324575,9,4368.908616647983,58.43472411153034,11.368244132943945,1,Personal Auto,7,1
39546.472826993995,4,4507.300923954953,79.6712690253925,11.10069251640088,0,Personal Auto,21,1
13023.94044706405,14,2872.1821053520457,79.65056527577835,1.7504195852244555,0,Commercial Auto,10,0
0.0,3,372.9601849225716,74.01228843923772,5.583492928274303,0,Personal Auto,5,0
32025.73005172836,11,1730.2797735918725,95.73784490735004,8.66178118899575,1,Personal Auto,13,1
77141.1762715658,5,3222.2749635945697,44.18654244624538,4.439973595663737,0,Commercial Auto,10,1
50263.56674748291,3,3073.6104560532895,93.51776458956608,4.793927248783724,0,Personal Auto,2,1
19158.239852095525,10,3678.243713443665,79.66147211333427,10.231287779499988,0,Personal Auto,11,1
27327.376287289262,6,2699.1272425670204,94.55853317799885,6.882067126589848,0,Personal Auto,6,1
61037.58198387935,1,5199.298999948963,59.66895732372149,12.997489893825849,1,Personal Auto,8,1
49039.071604243756,7,4813.610940677709,60.75703274013118,8.374618967416334,0,Personal Auto,2,1
36659.002844783514,8,3622.2370502138615,53.359037502971475,4.185961363497329,0,Personal Auto,6,1
67324.1345556629,13,3399.482478300106,81.10624754829057,6.456932613161503,0,Commercial Auto,21,1
50893.65838052368,6,2835.4808417585223,53.37659453754314,4.542447888010045,1,Personal Auto,2,1
37097.08645102773,10,2783.0414554792274,93.69592909360267,8.37702577763877,1,Commercial Auto,1,1
44824.50402991573,0,4381.002379152815,73.33751632850941,6.622987067858775,0,Personal Auto,4,1
51121.38049971746,11,3130.1943710688843,26.383597928473634,10.507288734533248,0,Commercial Auto,13,1
70434.64989395473,8,1544.0938643338018,71.98767555499474,8.675895049686822,1,Commercial Auto,7,1
23248.62714399286,14,3179.525362806338,34.13507252593454,7.542064585729482,0,Personal Auto,2,1
42196.31360976218,9,3170.875351227243,62.494354740508044,4.696884626017776,0,Personal Auto,15,1
39061.38934734455,5,1303.033809323391,81.90631659092891,9.081944787353365,0,Personal Auto,12,1
4793.74816456315,3,2465.249983112025,54.058563042048135,5.867759753651033,0,Personal Auto,19,0
31438.339126478848,1,200.0,68.16550899298997,3.672095853034456,0,Personal Auto,21,1
12804.52286119928,4,315.37796196703744,91.44067098972396,9.523197899636484,0,Personal Auto,14,0
47028.85257193749,13,3651.256072332592,67.71312730723841,4.548421398986744,0,Commercial Auto,3,1
40904.29375702788,11,1589.5896658221027,81.05302771018776,2.4785318337018065,0,Commercial Auto,2,1
50540.76473736877,6,3730.4060414429027,42.43074994155892,6.02154293348867,0,Personal Auto,8,1
49954.74596156187,4,4167.193735730774,50.97404249027488,2.4789235369644738,0,Personal Auto,16,1
12532.797125316483,8,2619.1303336799556,94.0258900950342,3.103774515093357,1,Personal Auto,1,0
44448.54604612262,5,1546.0237327330371,47.0476747524789,7.735048680278185,0,Commercial Auto,2,1
53649.44595106131,12,3583.4459117834886,72.319733080315,7.779957654414821,1,Personal Auto,12,1
63374.83415765107,6,4436.686673754167,79.95131239977039,3.9401843926459788,0,Personal Auto,11,1
45100.82473003689,2,2242.68632357844,76.09356650959475,12.416785015860587,0,Personal Auto,15,1
32732.038345048655,10,3838.404627868211,78.4337664496955,10.274429706828633,0,Personal Auto,3,1
49450.589529779354,8,593.1186198896148,75.67128941653036,3.6700374701273057,0,Personal Auto,23,1
71356.06304001468,7,2294.1487786883645,33.657524953796326,2.947324588794047,0,Personal Auto,14,1
49383.55425736263,5,4903.767276433238,85.46045354875798,8.707598679758332,0,Personal Auto,18,1
10909.816899438738,1,952.0332213927205,78.64879934946512,6.475317974014615,0,Commercial Auto,11,0
54608.41570811011,13,4813.470558402634,53.99427787756528,2.892471010517972,0,Personal Auto,11,1
45550.791228108494,12,1144.7688406766174,83.37223739884122,5.428594164526244,0,Personal Auto,4,1
45015.38697117117,7,4490.739996638715,51.59289273813549,8.12785874368681,0,Personal Auto,13,1
36373.09163494329,12,5575.408535574587,45.75903192287786,8.463387800436228,0,Commercial Auto,10,1
45490.31453313272,1,2935.411692655289,83.33286844473535,9.109835856284365,0,Personal Auto,11,1
46689.817715424724,13,5681.34635374241,62.9709494551776,9.421911344107363,0,Personal Auto,5,1
16058.228463811965,6,1713.2626819847942,92.0415577205953,5.152492006049237,1,Personal Auto,6,1
60715.47258298692,8,4043.164851041621,86.40062106523527,4.861172507068983,0,Personal Auto,9,1
38847.20143059047,2,5576.778127715624,76.3843628609206,4.732599628293306,0,Personal Auto,17,1
42081.052687608375,4,3504.1400925072435,64.2979312724201,0.0,0,Personal Auto,17,1
36887.54429396252,3,2631.8539627709993,86.71048854880267,4.56744196872829,0,Personal Auto,19,1
73106.39286340802,6,3345.7568160526876,61.82119806143849,4.096133334265932,0,Personal Auto,12,1
65181.75830273063,14,4497.022167407007,55.5835886218062,6.740100088448693,0,Personal Auto,4,1
74117.22894755148,8,3134.9714217118103,90.41940883592217,3.2961211552279877,0,Personal Auto,18,1
38534.76755685854,6,3974.1982403009947,83.54705137513035,5.054174410638142,0,Personal Auto,10,1
17192.45176300591,11,2146.90241988881,83.22687095229242,9.35000199417534,0,Personal Auto,13,1
38867.53292208239,13,200.0,47.44180469752662,7.883825144788929,0,Personal Auto,6,1
67132.79449496232,10,2031.2081384883425,80.91787024100933,7.676601324596339,1,Personal Auto,10,1
69832.11204227044,1,2158.469276594266,94.48613712012505,7.920428221427141,0,Personal Auto,3,1
27542.31628591845,1,4398.214160385503,48.462905020016464,9.25455100759771,1,Personal Auto,17,1
70018.09427223665,12,2237.9722863403163,63.2554242361402,7.206400058834233,1,Personal Auto,7,1
16119.460953232188,1,1591.1258171526488,65.57118218596474,8.04502451907894,0,Commercial Auto,13,1
42603.054995396764,4,3867.3740066684795,83.09325415021141,8.87284000552018,0,Personal Auto,23,1
46790.065243057834,9,4663.5048919673045,58.49491462005789,8.23356109205382,0,Personal Auto,9,1
74344.18219509842,9,2745.368667191249,56.7893795627966,7.757298162831442,0,Personal Auto,3,1
7083.721698362462,0,3838.28708494519,93.13242109853249,7.157067081853029,1,Personal Auto,15,0
15049.638562867918,11,2397.0143381044713,86.89793927539822,5.10926503791428,0,Personal Auto,17,1
0.0,2,2331.265160019871,78.70143278494099,7.32970385602017,0,Personal Auto,9,0
24335.06672414528,0,660.9909562670476,81.57359814875377,8.8163378258385,1,Personal Auto,18,1
3706.468238197438,7,4682.242960152649,84.4394207956165,10.02919568171193,0,Personal Auto,15,0
51904.10015330331,5,2257.958902493311,87.76521428337692,5.964298046684928,0,Commercial Auto,4,1
20689.925873743512,9,3585.397892747732,73.47253838842617,3.0519473005451427,0,Personal Auto,12,0
30137.521697801956,8,6168.2517520904075,68.67001290521377,11.11677582964931,0,Commercial Auto,19,1
85326.70371640046,11,1688.2900829078337,65.51230110103519,15.44840892866384,0,Commercial Auto,12,1
53548.493326967124,0,1217.31193292855,72.65503977988622,8.408277893080456,1,Commercial Auto,5,1
32915.108773400905,12,3295.7936870405206,57.75739375396187,8.735318265298487,0,Personal Auto,23,1
54712.393894400826,0,3822.6231243523575,95.99273191808952,7.081303213803706,0,Personal Auto,14,1
56544.60450971876,5,2894.245977126289,86.66331103752213,7.490232125541255,0,Personal Auto,21,1
67926.58863962619,5,5004.406434113132,97.8488348714669,3.079229258321707,0,Commercial Auto,24,1
29258.468685178206,3,2630.1271206726265,68.79560108269483,6.441891250599512,0,Commercial Auto,12,0
49324.18830843142,4,2471.1069590097864,87.41771215470652,8.512416481234082,1,Personal Auto,10,1
43917.01271425605,3,1910.1548156841657,60.53556138355495,3.355430278319648,0,Commercial Auto,14,1
42165.002278524065,14,6904.60666634637,72.54523255321564,5.305223950702736,0,Commercial Auto,18,1
35480.29851462427,11,3568.8063096894043,71.59641154483269,10.784271520082735,0,Personal Auto,9,1
60784.86538335129,12,3256.0779436926923,84.87857609400207,7.80492760254532,0,Personal Auto,22,1
59082.4517942944,14,5288.563842073248,33.285351175002035,3.5100234097240093,0,Personal Auto,22,1
12581.975976165226,8,4401.272415269256,63.62720284617577,8.341016404702401,0,Personal Auto,16,1
29838.022755625105,3,3491.4027096351174,62.72321124333382,4.3605528447456905,0,Personal Auto,14,1
42103.96750610364,3,3058.360507236311,62.28245728633029,3.635401229846675,1,Personal Auto,17,1
60252.57798987046,6,5535.729400206305,84.18641336021854,6.576843847454257,0,Commercial Auto,21,1
49001.38242432328,9,3034.143351360477,56.06751026250879,7.359851200145224,0,Personal Auto,12,1
61700.35475173628,1,2970.0406873146453,75.73123290586369,6.165565748598335,0,Personal Auto,9,1
40422.504543096875,2,4045.5757170102156,74.14669076235731,7.963890073776661,0,Personal Auto,5,1
33829.794527815444,10,284.82018154759874,59.74436060395383,3.1410496485806014,0,Personal Auto,18,1
48212.43669689872,7,5742.666491423978,58.31788088045331,12.142422141039546,1,Personal Auto,18,1
71258.05193167478,2,2803.1990045683337,87.114650490519,10.013395930612567,0,Personal Auto,5,1
31176.531116800863,11,3587.1991574751996,45.07892556053965,12.829297052303929,0,Personal Auto,7,1
36496.13829776995,10,1408.268566072332,60.59895100058882,6.448561614687814,1,Commercial Auto,20,0
30005.565452485986,5,1606.2281961992344,44.88768741478093,11.730843615649846,0,Personal Auto,5,1
42233.316660854805,2,3155.0146160707513,65.408582469512,6.865955698219271,0,Personal Auto,6,1
63875.228813972535,9,3707.610870040691,76.75120306685314,6.459631372565952,0,Personal Auto,1,1
44394.18087325414,11,1519.8096927311271,93.13193998088875,3.7285785679223036,1,Commercial Auto,11,1
40788.791680958464,2,2214.4602612896897,78.58584113690539,9.175995880977247,0,Commercial Auto,9,1
36684.55862394346,3,3499.9570961857685,53.08978115051482,7.763065978686954,0,Personal Auto,5,1
20318.954483220743,4,3226.9302729062997,83.65635452261876,11.172909189965873,0,Personal Auto,22,1
38882.511167051525,11,1058.7241198282147,89.45475658440645,1.1772746079203609,0,Personal Auto,11,1
0.0,5,3084.0242851936137,72.17664903648969,6.976524842476364,0,Personal Auto,15,0
49170.96604639384,14,4042.988060048501,85.40438555167104,2.588000808259763,0,Personal Auto,12,1
32691.140511019494,13,4381.776514490023,70.39177075796646,9.672523744094223,0,Personal Auto,24,1
54757.73875257243,3,5462.049123185143,48.20115345035944,2.481919965521783,1,Personal Auto,23,1
44958.015369070345,5,944.3876160560916,86.47170264968891,9.362979203206592,0,Personal Auto,20,1
43445.4387928599,8,2517.7591950535752,87.97210866713115,1.7555698986768906,0,Personal Auto,9,1
27741.41993597998,8,1840.319558232245,87.51626986452892,5.6860899707232715,0,Commercial Auto,18,1
63078.23405485683,0,3552.447148784065,69.36468731568655,8.882677283959763,1,Personal Auto,21,1
62185.66081348669,13,6429.690771819521,76.33056428171643,9.315820527960339,0,Personal Auto,15,1
18704.43419291342,7,3000.0141606758475,41.520633188564204,6.535734293799429,0,Commercial Auto,22,1
46809.054725027825,7,3796.5230073772245,86.68525266492601,4.097402265248197,1,Personal Auto,14,1
75019.39170008774,1,3215.0787035473927,78.6612389131925,10.273509106187452,0,Personal Auto,11,1
48124.389618751564,13,2579.93238680053,55.267762748265405,5.265310544505656,0,Personal Auto,19,1
25601.27859327895,13,3211.5552988844784,80.66519086773721,7.4588380003214585,0,Commercial Auto,19,0
6943.692114376066,8,3374.284295993556,72.96409158970056,6.837402990841323,0,Personal Auto,1,0
71910.06684842787,3,2570.4849326039102,73.39590286760996,7.072216108148566,1,Commercial Auto,21,1
17851.187813793273,11,958.3183797632015,70.20461459901375,11.030355690113295,0,Personal Auto,6,0
4459.21688618883,14,3619.406917795208,79.69474162257933,4.077701740759022,0,Personal Auto,17,1
65186.00513034765,7,2198.159476298058,80.69948714628272,8.920991972599765,0,Personal Auto,21,1
55818.962281140324,9,453.8943356563939,85.69542524039464,10.67193711818298,0,Personal Auto,5,1
45227.37655823461,2,921.9461057187203,92.9407561956426,9.970913111489184,0,Personal Auto,4,1
51946.309622042616,0,2649.168378323442,74.41370536915848,11.587976646567673,0,Personal Auto,20,1
42248.31144904766,11,2191.4929237172564,63.524603983935194,4.404687837921924,0,Personal Auto,15,1
54158.33696681353,10,4161.0541966429,70.95271287798181,9.444055085371042,0,Commercial Auto,17,1
45680.28068103656,11,3773.637188717192,49.37503207481465,4.623972299589767,0,Commercial Auto,11,1
48351.401071267974,11,3364.2783895399793,87.57193213847971,10.290602905996234,0,Personal Auto,23,1
44807.041512344265,3,627.31111189677,34.733313480754106,9.692211012907913,0,Personal Auto,9,1
55250.458725999844,13,4525.147808605004,56.464684855992076,9.492731422966825,1,Personal Auto,20,1
30696.138372731948,1,1092.6627325427412,62.64217292286809,2.058793184982705,1,Personal Auto,18,1
47805.01039115773,3,5075.744304129856,93.51820554775469,3.2614720649320654,1,Commercial Auto,1,1
9497.707304851692,10,2140.4343597817947,71.85390368900003,6.167018003315787,0,Personal Auto,23,1
35725.4776885191,11,3297.2218193281874,73.60844670911453,2.54799192535547,1,Personal Auto,2,1
68452.5613624521,4,2707.5910053475704,76.40123376681551,9.02515188018191,0,Personal Auto,5,1
42043.620216150965,7,1400.7013402624093,95.19661491532435,6.981740367847036,0,Personal Auto,21,1
33208.30061126244,12,3504.3677041857436,92.16700327339889,5.803809460033881,0,Commercial Auto,9,1
37063.354366446205,8,3520.266393567793,86.85602529885422,9.483164933961705,0,Personal Auto,12,1
58364.236526707755,12,1543.481718933158,83.03524994420452,5.281759979458307,0,Personal Auto,2,1
28610.72070960003,13,200.0,68.67878883241394,2.083108878544679,0,Commercial Auto,3,1
78526.2674175464,8,3592.0351714006392,91.86630913435526,4.480876941547186,0,Commercial Auto,18,1
45683.40506201675,10,3433.147050194995,83.7999690381072,3.5089749414913483,1,Personal Auto,6,1
52354.47033445392,10,4365.754806624542,78.94551115976951,7.7384942779964465,0,Personal Auto,6,1
87797.13606468166,5,6960.862899013164,62.23104682222102,10.906736481006156,0,Personal Auto,2,1
85150.02869105998,1,1415.802886532017,80.9375794739313,5.609835681987685,0,Personal Auto,11,1
34348.07842829548,11,4838.20907890443,40.8053533839164,6.087455248781841,0,Personal Auto,8,1
31324.50519515525,11,4693.64539944555,74.24769425283712,7.497326853532973,0,Personal Auto,20,0
38189.0952110329,7,4643.924511912203,82.56351465365893,6.15782837912205,0,Personal Auto,20,1
48129.33406248188,13,1613.362768829266,87.03551451203714,12.43268168180104,1,Commercial Auto,1,1
68199.34532973701,3,5769.654605885509,82.07591783322077,6.882223096720622,0,Commercial Auto,17,1
29158.306189014114,12,3138.658082314863,89.60966385524904,7.075824550063452,1,Personal Auto,14,0
45136.1954027715,3,2005.3276102911016,96.08571760276617,7.1898319753191355,0,Personal Auto,6,1
19233.73641380799,14,4085.4887925153657,79.0280006899598,8.762572640369719,0,Personal Auto,23,1
73278.73029814698,8,1805.8823192705268,49.12231983768918,4.730938736919519,1,Personal Auto,1,1
69397.1853119891,8,4487.404805474881,80.64500921960324,9.834290903169055,0,Personal Auto,4,1
0.0,0,1946.7113891137826,65.90197776469753,9.232273070102003,0,Personal Auto,8,0
48753.822931375784,6,5688.292383219823,72.47726757278318,11.773248671787083,1,Personal Auto,10,1
39810.84294874301,12,1245.6607696108438,88.51811323163045,7.444809633898689,0,Commercial Auto,4,1
47902.09565835447,7,3573.605461591277,51.77302318591952,4.736371550429405,0,Personal Auto,21,1
49654.985660825456,7,4970.4031499824705,72.76129008354168,4.219869912074155,0,Personal Auto,9,1
44087.82137182957,7,2725.4138951905265,71.27824498811019,6.271452583412015,0,Commercial Auto,21,1
54120.699358054466,7,3121.8073157947397,68.67507791759401,9.533046205115182,0,Personal Auto,22,1
40322.346234413555,7,3401.9927613451496,73.27485565591307,9.544687396614275,0,Personal Auto,13,1
70844.26823194537,3,4463.156625935147,84.85389242610049,6.961161406146402,0,Personal Auto,6,1
65396.64917034195,3,3694.1843001090497,62.466295954469466,8.258443935052345,1,Personal Auto,23,1
0.0,13,2240.479846535141,76.82525542780343,11.776614776906397,0,Commercial Auto,11,0
64827.41691881846,7,2299.7214510242998,39.261716861159876,12.609709502725423,0,Commercial Auto,24,1
46549.75076463429,2,5425.336561473335,90.26098916158864,7.829847786608873,0,Commercial Auto,2,1
20839.963072460218,1,2761.7512774313077,72.53527606424414,5.629752605966253,1,Commercial Auto,1,1
36951.732977936226,12,669.5763949167908,88.5404595180103,10.495626349639364,0,Commercial Auto,13,1
52123.507641688215,8,2252.2707167169197,63.734631880272644,9.223915521353897,1,Personal Auto,24,1
67371.2894380944,4,3709.5585228271984,71.82651119481922,2.4307594596943893,1,Personal Auto,12,1
69397.13946603559,4,2975.334425316297,79.18019862531725,13.048890467084153,0,Personal Auto,5,1
36761.57130066929,10,2632.883316168248,73.48349907555004,9.579598446354554,0,Personal Auto,11,1
40926.56285818013,14,2311.030198830817,53.14726623779102,5.5724157110315415,0,Commercial Auto,3,1
67727.37801516594,1,1962.9989377695535,50.2605011492458,11.676529938197177,0,Personal Auto,22,1
46754.786084968466,9,1371.4015853732883,69.54532044398067,3.6467968936661155,0,Personal Auto,4,1
37078.990562925654,9,2943.1288347629593,47.13612054971901,4.073913881338799,1,Personal Auto,19,1
2763.0591330433863,6,4327.54836407172,78.36436371410382,8.060692289050579,0,Personal Auto,2,0
56378.14142520606,5,3635.4210621564694,93.51149763874076,9.637951630064277,0,Personal Auto,17,1
51452.3863056848,9,3685.678222536429,38.93792863925444,7.371681304887564,0,Personal Auto,6,1
36699.65457194162,8,2826.5203529953824,73.07020983531147,9.583130864314867,0,Personal Auto,20,1
44132.769480331866,9,4459.756598059061,58.33245539090315,9.486795541842191,0,Commercial Auto,22,1
12699.645439250364,7,4876.68527318745,89.55002206835836,7.03407651779737,0,Personal Auto,23,1
