tenure_months,claim_frequency,monthly_premium,service_interactions,auto_bundle,home_bundle,payment_method,household_size,agent_visits,digital_engagement_score,churned
95,1,83.69452611409886,0,1,0,ACH,5,0,0.6403490750870593,0
84,0,156.24782908438306,1,0,0,ACH,5,0,0.4192765252409949,0
75,2,133.379342975927,4,0,1,Credit Card,4,0,0.13630361124139173,0
41,0,141.60696418720647,0,0,1,ACH,2,0,0.12449010714412653,0
118,1,176.53040779153795,6,1,0,ACH,4,0,0.05210935478441974,0
56,1,159.0860268564847,4,0,1,ACH,1,1,0.2782593045032947,0
26,1,137.07875484469443,2,1,0,Credit Card,2,1,0.19479022787164973,1
101,0,171.760285571666,2,1,1,Invoice,2,0,0.7656578565759636,0
20,1,158.05834689038886,1,0,0,Invoice,3,0,0.5536799542900186,0
103,1,148.15422967830855,2,0,0,Invoice,5,0,0.5352399680930051,0
73,0,154.0302390020216,1,0,0,Invoice,1,0,0.6393706764031248,0
14,0,152.59344273334978,6,0,0,Invoice,4,0,0.6448420580275397,0
6,1,134.81427487286672,1,0,1,Credit Card,1,0,0.5216032862638555,0
53,1,131.2269989146733,2,1,1,Credit Card,5,0,0.6175380679644257,0
5,1,145.75484143351306,1,1,0,ACH,2,0,0.705659811396009,0
17,1,116.37267272813857,1,1,0,Invoice,5,0,0.6370938766326971,0
62,0,107.23349137699786,1,0,0,ACH,4,0,0.8360143441910994,0
116,0,184.02732921890268,0,0,1,ACH,2,0,0.282401786215486,0
56,0,137.80922166033736,1,0,0,Credit Card,4,0,0.3183044904506035,0
97,1,144.27993363520346,0,0,1,ACH,3,0,0.29476273150664406,0
110,1,140.94867937754455,3,0,0,ACH,1,0,0.801209528475479,0
98,1,145.70217126170922,1,0,1,Credit Card,3,0,0.6666496860827287,0
75,1,145.68132851399955,1,0,0,Invoice,2,0,0.3185592777504786,0
53,0,146.953747401382,3,0,1,Credit Card,2,0,0.21689430572184915,0
62,0,120.85162690703088,1,1,0,Credit Card,4,0,0.798132775145257,0
32,0,172.9606951420441,2,1,0,ACH,1,0,0.45013869877643775,0
60,0,124.23715745173732,1,0,0,Credit Card,5,0,0.720169096241965,0
46,0,176.04715546863542,1,0,0,ACH,1,0,0.42016122221656516,0
30,0,87.43556705330248,1,1,1,ACH,4,0,0.4770678645696004,0
119,1,113.15424865539748,4,0,0,Credit Card,3,0,0.5765631186975934,0
2,0,174.76371390989323,2,0,0,Credit Card,3,0,0.3562329383429094,1
12,0,140.55549965214345,2,0,0,ACH,4,0,0.6725456716823781,0
23,1,124.86937051195375,2,1,0,ACH,1,0,0.4729200492503704,0
116,1,156.25520883169543,1,1,1,ACH,4,0,0.7836333798960713,0
83,0,113.6342312572313,1,0,1,Invoice,3,1,0.5602957534852913,0
105,0,147.3061600258667,1,0,1,Credit Card,5,0,0.31624342764096697,0
24,0,78.54540995559572,1,1,0,Credit Card,5,0,0.32411506964770437,0
86,0,131.42917128477143,5,1,0,Invoice,3,2,0.7577362624556933,0
44,0,125.50464727800244,1,0,0,ACH,1,0,0.604024902674314,0
59,2,161.18848307447695,2,0,0,Credit Card,3,0,0.875565560016509,1
1,1,171.2731388198713,3,0,0,ACH,2,1,0.14989952578741977,0
74,0,119.36357026610865,2,1,1,ACH,1,0,0.21985365705834056,0
99,0,193.2673370849797,0,0,0,Credit Card,5,0,0.48636818185650954,0
79,0,127.239001281919,1,0,0,Credit Card,4,1,0.6993773781741783,0
19,2,83.3222877030049,1,0,1,Credit Card,4,0,0.3838131959935728,0
64,0,73.6087437236755,1,0,0,ACH,5,0,0.7018289219771942,0
32,2,191.16882599081103,1,0,1,Invoice,5,1,0.7686218379238142,0
115,3,142.37390249924363,2,0,0,ACH,3,0,0.9728808882926412,0
105,0,125.58014694424337,0,1,0,Credit Card,3,0,0.7628517104222979,0
23,0,122.56305344659606,3,0,0,ACH,1,0,0.13789368461140145,1
61,1,112.23350561725675,0,0,0,ACH,1,1,0.550274532715,0
112,0,185.56701314127855,0,0,0,Invoice,5,0,0.957561112591142,0
101,0,142.48350853000485,1,1,0,Credit Card,4,1,0.6341395715561577,0
85,0,198.7062445063855,3,1,1,Credit Card,4,0,0.4704231465410434,0
77,1,139.02991948193107,1,0,0,ACH,5,0,0.37052604521150556,0
6,1,74.49122499482432,2,0,1,Credit Card,4,1,0.2743570692683791,0
89,1,170.3330182448421,2,0,0,ACH,3,0,0.4016899867430393,0
57,0,133.9541352147925,0,0,0,ACH,5,0,0.40272199432372513,0
11,0,137.88766961289818,4,0,0,Credit Card,2,0,0.9092437048550319,0
30,0,192.01820105070578,1,1,1,Credit Card,5,0,0.8738305120047274,0
65,1,137.0983614411626,2,0,1,Invoice,1,2,0.4944795599717469,0
87,0,179.85979716425098,1,0,1,Credit Card,1,0,0.35279544274905233,0
61,0,144.85024960566372,1,0,0,Credit Card,2,0,0.4305423437687985,1
73,0,122.44056228923169,2,1,0,Credit Card,3,1,0.18353340680200164,0
104,3,160.21944325945253,0,0,1,Credit Card,3,0,0.17700182984400187,0
82,1,126.9795268067382,0,0,1,Invoice,3,0,0.3705696800158808,0
43,1,181.8488485925561,2,1,0,ACH,4,0,0.26290355027037904,1
77,1,173.79659540587087,2,1,0,ACH,5,0,0.39771634392669214,0
72,1,146.8820171791991,2,0,0,ACH,1,0,0.7056500686234305,0
13,1,163.29691127804787,1,0,0,Credit Card,2,3,0.39571313327916063,0
8,0,161.93806653724482,0,1,1,Credit Card,3,0,0.22896497385910086,0
79,0,136.73148351627552,1,1,1,Credit Card,1,0,0.928006054718748,0
47,0,171.85439312962882,2,1,1,ACH,1,0,0.5703620379565374,0
72,0,138.18125240547585,3,1,0,ACH,1,0,0.5750713035635303,0
39,0,163.48617016758865,4,0,0,ACH,3,0,0.21039839891035925,0
27,0,116.48963525693978,0,1,0,Invoice,4,0,0.5160544334298461,0
18,1,148.0608499299963,1,1,0,ACH,3,2,0.5079094720102608,0
46,2,157.48277260400494,0,0,1,Invoice,5,0,0.11163785557515164,0
98,0,121.34639293168935,2,1,0,ACH,3,0,0.6942619377985862,0
48,0,132.57019299538186,0,1,1,Invoice,5,0,0.19512218422509175,0
46,0,129.068665268448,0,1,0,Credit Card,2,2,0.3641855844837394,0
69,1,166.91949914516874,3,1,1,Credit Card,3,1,0.7084070074842111,0
117,2,123.49500449432654,3,0,1,Invoice,1,0,0.5071466699398179,0
47,1,158.25202845026166,3,1,0,Invoice,4,0,0.3669900815886122,0
71,0,190.86325112002598,5,0,0,ACH,5,0,0.7309232171493397,0
53,0,155.8340597580849,4,0,0,Invoice,3,0,0.2827094456610798,0
73,0,96.79322133383938,1,0,1,Credit Card,5,0,0.712043530771385,0
54,0,148.93038215046488,1,1,1,ACH,4,0,0.6841716592623976,0
76,0,176.39799402246697,3,0,0,ACH,3,0,0.6175937016668814,0
66,1,136.59811665393846,1,0,0,Credit Card,5,0,0.2141313895404966,0
81,0,178.4719602830583,1,0,0,Credit Card,5,1,0.14297689802777946,0
114,1,163.74649427271498,0,0,0,ACH,4,0,0.3061818867787979,0
18,2,157.84645564062984,1,0,0,Credit Card,2,1,0.39043394923194585,0
67,0,137.3833728197954,1,0,0,Credit Card,4,0,0.47082755421690475,0
53,0,129.8617644189979,3,0,0,Credit Card,2,0,0.6349637836012952,0
43,0,137.55934157959342,4,0,0,Credit Card,4,0,0.4716173385975243,0
29,0,147.14369469463708,2,1,0,ACH,2,0,0.4664623665193168,1
7,0,160.95728632175874,6,1,0,Invoice,4,0,0.8524794429718824,0
48,0,157.89217889825366,2,0,1,Credit Card,1,0,0.9555971475366485,0
99,1,136.2599590810041,1,1,0,ACH,4,0,0.8569502375464381,0
12,2,147.26083008240602,2,0,1,ACH,2,0,0.21401384743173185,0
49,0,156.94364699784344,4,1,1,ACH,4,0,0.7965972737936684,0
116,0,96.57846864285153,1,0,0,Invoice,3,0,0.22671890089883578,0
114,0,122.28902999849309,4,0,0,Credit Card,3,0,0.6011255483387943,0
26,1,121.37703352381415,1,0,0,Credit Card,4,1,0.8114889811484729,0
1,0,139.23890698218707,4,1,1,Invoice,4,0,0.7021819372610878,0
80,0,137.10033515527476,3,1,0,Credit Card,2,0,0.5146904317257649,0
2,1,137.64090917133547,0,1,0,Credit Card,5,0,0.7862374729388996,0
36,0,119.20566252030659,2,0,1,ACH,2,2,0.1731534939775262,0
60,1,165.58023715601772,2,0,0,Invoice,5,0,0.9505604449212876,0
105,1,153.7427617807996,2,1,1,Credit Card,4,1,0.6557833338187493,0
12,0,96.13445031779646,0,1,0,ACH,2,0,0.8152719889432825,0
79,0,145.82537532643738,3,0,0,ACH,3,0,0.7562505199651631,0
64,2,111.64429919822263,2,0,1,ACH,5,0,0.5555891077991615,0
16,0,196.5105585939759,1,0,0,Credit Card,4,1,0.1174281448880652,0
101,0,131.78006457627114,3,1,0,ACH,3,0,0.6274551633280592,0
101,0,133.64188260198515,1,0,0,Invoice,3,0,0.5492521528321942,0
58,0,147.9790500228599,1,0,0,Credit Card,2,0,0.28513945036520794,0
113,0,139.46866878429165,3,1,0,ACH,1,0,0.4652605619845418,0
73,0,143.72465221945828,1,0,0,ACH,1,0,0.42237538323326657,0
108,3,191.90206191522205,1,1,0,Credit Card,3,0,0.5636718592356906,0
115,0,152.26902233184984,2,1,0,Credit Card,5,0,0.5567974709686926,0
68,0,170.542549246911,3,0,0,Credit Card,3,0,0.26462682349811123,1
34,0,179.3156716010578,3,0,1,Invoice,1,0,0.8626281000295338,0
18,0,116.26421060598982,4,0,0,ACH,5,0,0.5169282110216106,0
67,0,196.18459406163672,2,1,0,Credit Card,1,0,0.3771452042605723,0
23,1,166.159908864905,3,1,0,ACH,2,0,0.7503781250831755,0
90,0,174.23223867830075,5,1,1,ACH,4,0,0.9788181784903087,0
111,0,119.62109019671858,1,0,0,ACH,1,0,0.4606096445061394,0
30,1,170.0469856112502,1,1,0,Credit Card,1,0,0.35045667132197256,0
66,1,157.9333555316787,1,0,0,ACH,1,1,0.6048184584027981,0
6,0,129.42078407623677,1,0,0,ACH,2,0,0.5429279135670921,0
22,0,214.02431418833405,1,1,0,ACH,5,1,0.4447028547415921,0
45,0,162.54633482111979,0,1,0,ACH,2,1,0.7064533113552203,1
106,2,138.36475937891743,1,0,0,ACH,4,0,0.5436578424705004,0
116,0,151.37017611017407,2,0,0,Credit Card,5,0,0.583787254556453,0
77,0,172.86154824969745,3,0,1,ACH,5,0,0.6592496054420968,0
70,2,179.46604908860243,2,1,0,ACH,2,1,0.45069077036321215,0
68,0,163.0122766694947,1,0,0,Invoice,5,0,0.16502042648810628,0
8,0,182.0837007149063,3,1,0,ACH,3,1,0.6264851679399409,0
45,1,189.6749531470072,3,0,1,ACH,3,0,0.3099358447971807,0
118,0,108.53145053903619,1,1,0,ACH,3,0,0.7714469766149192,0
49,0,131.0077151214711,4,1,0,Invoice,2,0,0.07717483768112032,0
26,0,117.39513349312682,2,1,1,ACH,3,0,0.9089834518138818,0
29,0,148.50234791532571,2,1,0,ACH,3,2,0.6391198938023076,0
85,1,188.88518609666954,2,1,1,Credit Card,3,0,0.3820460721667835,0
5,1,165.18549154133618,2,0,0,ACH,1,1,0.2950734441672969,1
116,0,114.2230831741356,1,0,0,ACH,3,0,0.3703704978183944,0
105,1,136.78687657509346,1,1,0,ACH,3,1,0.10981213469223028,0
68,0,176.45422985935113,4,1,0,ACH,4,0,0.21157217505338846,0
56,0,129.65511730119854,2,0,0,ACH,5,1,0.872443157697395,0
91,1,142.69883637287293,2,0,1,Credit Card,5,0,0.4734956969446234,0
66,0,154.73346981537784,1,0,1,ACH,3,0,0.6542382571671616,0
57,0,90.95500717765624,1,1,0,ACH,2,0,0.2288281530131798,0
39,1,168.98771586560738,3,0,1,Credit Card,3,1,0.7558075846137332,0
54,1,155.86944968915319,3,1,0,ACH,1,0,0.7101335689986296,1
90,0,162.6557725682196,1,0,0,Credit Card,2,1,0.8104413051640035,0
7,0,116.24021599779678,3,1,0,Credit Card,4,0,0.9649767014081129,0
3,0,122.5602030114925,3,1,0,ACH,5,0,0.7797996381571307,0
86,0,127.69500328472033,1,1,0,Invoice,5,0,0.15031237069656112,0
45,0,153.11694851616159,0,0,1,ACH,5,0,0.36727459055521994,0
96,0,147.7104236442867,2,1,1,ACH,1,0,0.4270409712665977,0
4,0,149.43449508646842,1,0,0,Credit Card,3,0,0.22900210603130836,0
108,0,199.35150794282816,1,0,0,ACH,2,0,0.3455867499985819,0
15,1,184.7644522876152,3,0,0,ACH,3,1,0.443404591996429,0
50,0,124.02935425339184,6,0,0,Credit Card,1,2,0.8625068293741099,1
116,1,125.99492939418982,3,1,0,Invoice,1,0,0.8893366026048103,0
13,0,197.0718224331254,0,1,1,ACH,4,0,0.5584089495651755,0
79,0,136.09085561294455,0,0,0,Credit Card,4,0,0.3060996825803684,0
87,0,186.9651636327085,3,0,0,Invoice,1,1,0.6911337152510176,0
51,0,193.55865807163184,2,0,0,Invoice,1,1,0.5314493064040934,0
10,2,129.32952949371202,1,0,1,ACH,5,1,0.24845840180741988,0
63,0,137.51540364733032,1,0,1,ACH,2,1,0.6195861314164285,0
52,1,148.08493519769468,2,0,0,Credit Card,3,0,0.8708744022496812,0
104,1,119.68715876600746,2,1,0,Credit Card,2,0,0.6217648902159696,0
82,2,116.26409806254514,2,0,1,ACH,4,0,0.05492586094885577,0
41,1,133.56421706121765,0,0,0,Credit Card,2,1,0.3045785322892722,0
7,0,171.18092763679326,1,1,0,ACH,1,0,0.18588921004486372,0
71,0,132.1632095663319,2,0,0,Invoice,4,0,0.6645876944565963,0
34,0,139.4103274685524,5,1,0,ACH,3,1,0.7582468887167676,0
82,2,131.6427822621426,2,1,1,ACH,4,1,0.2698386620648235,0
103,0,104.6548775311431,1,0,1,ACH,3,0,0.9771698143266709,0
43,0,190.13127428566605,1,0,0,Invoice,5,0,0.9256394109571807,0
108,0,75.33294577494038,2,0,1,ACH,5,0,0.9146838006868206,0
62,4,125.97780308266223,2,1,0,ACH,4,0,0.741925293012292,0
64,0,162.36176624004034,1,1,0,ACH,3,0,0.24303244870814847,0
92,0,103.72471744316228,0,1,0,ACH,5,0,0.4132325558725348,0
94,0,163.74235770220608,0,0,0,ACH,3,1,0.448301374151332,0
109,1,183.1698222894133,0,0,0,ACH,2,0,0.7211375596427542,1
119,0,119.8074955224172,2,1,0,Credit Card,5,0,0.3924591829460842,0
18,0,151.85532850430934,1,0,0,Credit Card,3,1,0.4126401994012416,0
50,0,112.28038345402841,1,0,0,ACH,4,0,0.5293769824068536,0
112,1,160.801519223468,5,0,0,Invoice,5,0,0.6894442743000763,0
37,0,148.24024927983845,2,1,0,ACH,3,0,0.019956716118026713,0
1,2,152.0533030119351,2,0,0,Credit Card,3,0,0.7180578501914728,0
69,0,186.5708250154949,4,1,0,Credit Card,1,1,0.31165828755658703,0
90,0,159.71981663498312,3,1,0,Invoice,2,0,0.844621261498261,0
89,2,185.96257284596572,4,1,1,Credit Card,2,1,0.11779067312654154,0
97,0,164.60745690608755,4,1,1,Invoice,4,0,0.3369346209654711,0
77,0,109.59336865874307,2,0,0,ACH,1,0,0.4694089287572854,0
17,0,153.42421483946845,0,0,1,ACH,2,0,0.9119623225428616,0
101,0,160.26651696255306,3,0,0,Credit Card,2,0,0.5224487601531651,0
50,0,102.21306938266143,4,1,1,Credit Card,4,0,0.49026208163169666,0
101,0,185.5865947796714,2,0,0,ACH,5,1,0.3834557498797025,0
98,0,147.62177239374498,3,0,1,ACH,5,0,0.5685278880038419,1
116,0,156.62303400081103,2,0,0,ACH,5,0,0.6685357416444152,0
2,0,118.68510028185169,3,0,0,ACH,3,0,0.37389602969670493,1
104,0,147.75738331205514,1,0,0,Credit Card,2,0,0.7999563594272069,0
75,0,154.57532216374267,4,0,1,ACH,3,0,0.6414045949232935,0
58,1,135.79177644206698,1,0,0,Credit Card,1,0,0.8131914233636541,0
95,0,147.998277967643,1,0,1,ACH,3,0,0.8432312729371307,0
114,1,81.99057536132403,4,0,1,ACH,2,1,0.11362070085823298,0
62,0,186.43621814111978,2,0,1,Invoice,4,0,0.5254755556002417,0
11,1,112.1490342170606,2,1,0,ACH,5,0,0.44939947212977366,0
87,2,80.10577365108014,4,0,1,Credit Card,5,0,0.5367170390771006,0
28,1,116.75947588704187,3,0,0,Invoice,4,2,0.19125626541197668,0
27,1,120.52259257659142,1,0,0,ACH,3,0,0.5414386560257625,0
23,0,161.87780840120755,0,1,0,ACH,1,0,0.5495909145040394,0
24,0,118.15043757995576,3,0,1,ACH,4,0,0.8504071232085296,0
109,0,154.0897173983763,2,0,0,ACH,4,0,0.9544073667842203,0
44,0,116.77382376753427,3,0,0,ACH,4,0,0.18912218266416853,0
13,1,211.76766249940167,1,1,0,ACH,1,0,0.7251333580119509,0
22,1,161.91340812173414,2,0,1,ACH,4,0,0.8057958398323021,0
47,1,204.23762380826057,3,1,1,Credit Card,1,1,0.5616362490994623,0
42,0,115.11147404038726,1,1,1,Credit Card,1,0,0.7940625142525399,0
37,0,165.4553119768756,3,1,1,ACH,2,0,0.9748101480089059,0
113,0,116.85386037022016,1,0,1,ACH,3,0,0.5479230443303155,0
104,0,162.8896186263605,1,0,1,ACH,1,0,0.4809382861518593,0
69,0,165.87081063496458,2,1,0,ACH,1,0,0.34526244770725933,0
118,0,97.68978784327743,2,1,0,Invoice,2,0,0.7870867013375367,0
41,0,111.42052169683534,3,1,1,Invoice,1,1,0.6629362051962948,1
17,1,110.51951151367697,0,1,0,ACH,2,0,0.27267454796186935,0
33,1,100.39192316079182,1,1,1,ACH,1,0,0.5745699605129283,0
11,1,123.56263042224275,5,0,0,Credit Card,2,0,0.47992064908247195,0
114,1,116.67796693270978,2,1,1,ACH,5,1,0.8894450709970929,0
27,1,102.12010355611214,3,0,0,ACH,2,1,0.6568849273593282,0
53,0,148.39983134371755,2,1,0,Invoice,4,0,0.3824925327616756,0
25,0,161.8247806942228,2,1,1,ACH,3,0,0.20586304495367472,0
117,0,106.00717452409948,1,1,0,ACH,4,0,0.3141787213176074,0
19,0,128.7284105967473,4,0,0,Invoice,4,0,0.5390571801686713,0
62,0,145.66726043115386,2,0,1,Credit Card,3,0,0.4281253047594356,0
114,0,138.46585341312402,4,1,0,Credit Card,2,1,0.7307883847783999,0
63,0,124.39095372531352,1,1,1,ACH,4,1,0.7947830635004939,0
107,1,169.7109206774894,1,1,0,Credit Card,3,0,0.6599806633571677,0
107,0,170.80302466200195,1,1,1,Credit Card,2,1,0.681600590864243,0
92,0,165.77745703343658,0,1,1,Credit Card,5,2,0.28021582157897107,0
89,0,139.1282410596767,1,1,0,ACH,4,0,0.3653691633856775,0
69,0,204.9640230016923,1,0,0,Credit Card,4,0,0.5488595497093297,0
70,1,197.58107338796563,1,1,0,Credit Card,2,0,0.3353666725647403,0
99,0,133.30082176388353,2,0,1,Credit Card,1,0,0.29508300989883357,0
51,0,141.74724382621656,1,1,1,ACH,3,0,0.7469058439115379,0
113,0,180.99805041909744,2,0,1,Credit Card,3,0,0.6949859307783302,0
105,2,121.35709552017198,1,0,1,ACH,3,0,0.5451781805194156,0
45,0,157.29162324303013,0,0,0,ACH,1,0,0.34586271245618827,0
49,0,146.71423091441557,2,0,1,ACH,3,0,0.1769740595937964,0
86,0,124.22563327766794,4,1,1,ACH,3,1,0.7612463929000598,0
110,1,138.37075357141387,1,1,0,Credit Card,1,1,0.3390399871455382,0
12,1,98.16292038396516,0,1,1,Credit Card,5,0,0.41161116036499623,0
9,0,129.0154078125852,2,1,0,Credit Card,3,0,0.8659341093692499,0
30,0,85.44034531594593,6,0,1,Invoice,5,0,0.7616979461440557,0
52,0,213.6976873201428,0,1,0,Invoice,2,0,0.2981478786829437,0
20,1,190.460564236463,2,1,0,Invoice,4,0,0.6083880268687742,0
62,0,182.14104417601206,0,1,1,Credit Card,1,0,0.7555976397075782,0
65,1,154.33412772648035,0,0,1,Invoice,2,1,0.6115114782489411,0
114,0,175.22233979694036,2,0,0,ACH,4,1,0.6070884260179594,0
89,0,183.42273708929625,4,1,1,Credit Card,3,0,0.9318231867407303,0
30,1,175.72615882288807,1,0,1,ACH,1,0,0.9329013256299968,0
94,0,172.7890658443373,0,0,0,ACH,3,1,0.3281453322826705,0
96,0,117.86353952981072,2,0,0,Invoice,5,0,0.5907671431475793,1
81,1,158.07798164216334,1,0,1,Credit Card,1,0,0.6397273875636814,0
81,1,129.17277052186247,2,0,0,Credit Card,3,1,0.22195518366288333,0
37,1,109.78315211280348,1,0,1,ACH,2,0,0.8580082554542279,1
86,1,110.9486169070897,3,0,1,Credit Card,2,0,0.3299856399128469,0
17,2,158.01435692800376,2,1,0,ACH,2,0,0.5306213462078093,0
75,0,176.7631332830887,0,1,0,ACH,1,0,0.3210690386742219,0
110,0,104.12943394479537,2,0,0,ACH,4,0,0.3075140362148689,0
116,0,197.5203729711829,3,1,0,Credit Card,1,1,0.767582830014087,0
36,0,189.22368514675625,2,1,1,ACH,1,0,0.6662364685972556,0
40,1,133.72130326836714,5,1,0,Credit Card,4,0,0.4889448605609855,0
74,0,131.23745500153993,5,1,0,ACH,4,0,0.25460880673109876,0
48,0,142.92987575318546,0,1,1,Credit Card,4,1,0.46002495162991264,0
88,0,174.5516623303265,1,1,0,Invoice,5,0,0.6310082654201966,0
25,0,133.61280561300717,1,0,0,ACH,2,0,0.4496934034881438,0
21,0,111.90483665788724,0,0,1,Credit Card,5,1,0.5835367212321252,0
7,0,155.39061466397908,3,0,1,Credit Card,5,0,0.3369903386478613,0
56,0,83.11730308495859,0,1,1,ACH,1,1,0.764154552829058,0
26,0,149.28701131274713,1,1,1,Credit Card,2,0,0.12176286625208904,0
36,1,179.8240363537777,1,0,0,Credit Card,4,0,0.6289230612738861,1
109,0,154.21101115603574,1,0,0,Credit Card,3,0,0.4497805861666552,0
97,0,168.44549441122754,3,0,1,ACH,3,0,0.33910181312583976,0
100,0,159.84018977133312,0,0,0,Credit Card,1,0,0.856953546993635,0
71,0,166.85906612229954,2,0,0,ACH,3,0,0.21416317101217625,0
14,0,149.37102964979405,2,1,0,ACH,2,0,0.5812655256525451,0
89,0,120.126153685439,1,0,1,Invoice,4,1,0.325765450678204,1
72,2,138.2696970449098,2,1,0,Credit Card,4,1,0.13693546857272942,1
109,0,142.80214538188466,1,1,1,Invoice,4,0,0.2019104976365643,0
58,0,182.76583973156892,1,0,0,Credit Card,3,0,0.9902265260877352,0
21,0,193.7842859620587,1,1,0,ACH,3,0,0.45558850530940137,0
71,0,157.61835732187404,2,1,0,ACH,2,1,0.22174427876260644,0
55,1,122.41739839238467,0,1,0,ACH,3,0,0.5589453826234925,0
79,0,123.10953690576372,1,0,0,Credit Card,3,0,0.8936897110382719,0
45,1,139.37487962583887,2,0,1,Credit Card,4,0,0.696506018984408,0
37,0,186.6639249048627,1,0,1,Credit Card,5,0,0.6007614618733546,0
15,1,155.03721193710672,0,1,0,Credit Card,5,0,0.25172553909093326,0
115,0,143.34000720610933,4,1,0,ACH,3,0,0.6230682588896546,0
90,0,122.04962506930347,4,1,1,Invoice,1,0,0.3739261266581942,0
56,1,171.47137030136713,2,1,0,Credit Card,2,0,0.8234077297672443,0
28,0,153.68114522954062,2,0,0,ACH,4,1,0.8808912896190808,0
75,4,143.47666624258918,2,0,0,Credit Card,5,1,0.8168458156086733,0
50,0,148.10271149574265,2,0,1,Credit Card,1,0,0.2964861024418574,0
76,0,195.5954797003494,2,0,1,Invoice,1,1,0.7740807171378162,0
11,0,140.188670112256,1,0,1,ACH,2,0,0.4269830695631242,0
22,1,195.65376412848738,1,0,0,ACH,4,0,0.1616436861430784,0
88,0,182.268549902634,4,1,0,ACH,3,0,0.41508492187621565,0
8,0,146.5702377032267,2,0,0,ACH,3,2,0.87422478976262,0
81,0,171.51621491614657,1,1,0,ACH,5,0,0.7472793900303654,0
49,0,141.2866303636548,2,0,0,Credit Card,3,0,0.609082393311624,0
1,0,120.14870634745482,2,0,1,ACH,1,0,0.3318799514444339,0
91,2,136.96294302300282,4,0,0,ACH,2,0,0.8060871125341665,0
84,2,117.78292191138723,4,0,1,Credit Card,5,0,0.7106224135439022,0
98,2,160.3434617082523,1,0,1,ACH,2,0,0.47226542963506934,0
107,0,145.44184051152894,0,0,1,ACH,2,0,0.6690184155319492,0
87,2,162.0349040615195,2,0,0,ACH,1,0,0.8123356912588321,0
101,0,169.80055386233357,3,0,0,Credit Card,2,0,0.6514899901745314,0
14,1,51.392655880554905,1,0,1,Credit Card,3,0,0.9191870259794693,0
110,0,154.34495658537912,1,0,0,Invoice,2,1,0.5637727746972286,0
109,0,90.94968211907293,1,0,1,ACH,4,1,0.45122230380333617,0
83,0,149.99893525355878,0,0,0,Credit Card,2,0,0.4607804418776907,0
96,1,118.678322608207,2,0,0,ACH,1,0,0.9503733083745981,0
89,0,148.12713264804495,3,0,0,Credit Card,4,0,0.7010693998194575,0
105,0,185.96358183785313,0,0,1,Credit Card,2,1,0.36941956448306096,0
106,0,93.76603919998053,3,0,1,ACH,3,0,0.6946214602682718,0
